% File: interest.arff
% by Dorin Diaconu, Georgiy Gegiya

@RELATION interest

@ATTRIBUTE prevwords string
@ATTRIBUTE nextwords string
@ATTRIBUTE prevtags string
@ATTRIBUTE nexttags string
@ATTRIBUTE senses {'readiness to give attention', 'quality of causing attention to be given to', 'activity, etc. that one gives attention to', 'advantage, advancement or favor', 'a share in a company or business', 'money paid for the use of money'}

@DATA
'sold later', 'olympia AND', 'VBD RB', 'NP CC', 'a share in a company or business'
'divergent caused', 'rates', 'JJ VBN', 'NNS', 'money paid for the use of money'
'equality point', 'rate british', 'NN NN', 'NN JJ', 'money paid for the use of money'
'nominal lower', 'rates dollar', 'JJ JJR', 'NNS NN', 'money paid for the use of money'
'possible speculation', 'jaguar', 'JJ NN', 'NP', 'readiness to give attention'
'controlling acquired', 'quantum 1986', 'VBG VBD', 'NP AB', 'a share in a company or business'
'home american', 'prescription over-the-counter', 'NP NP', 'NN JJ', 'a share in a company or business'
'conflict appearance', 'favoritism', 'NN NN', 'NN', 'advantage, advancement or favor'
'general news', 'home', 'JJ NN', 'NN', 'quality of causing attention to be given to'
'sending inflation', 'rates soaring', 'VBG NN', 'NNS VBG', 'money paid for the use of money'
'lower loans', 'rates', 'JJR NNS', 'NNS', 'money paid for the use of money'
'minority acquisition', 'store progress', 'NN NN', 'NN NN', 'a share in a company or business'
'cap wanted', 'deductions lbo', 'VB VBD', 'NNS NP', 'money paid for the use of money'
'lbo high', 'costs', 'NP JJ', 'NNS', 'money paid for the use of money'
'plus principal', '', 'CC NN', '', 'money paid for the use of money'
'equity sale', 'result significant', 'NN NP', 'VB JJ', 'a share in a company or business'
'boost germany', 'rates today', 'VB NP', 'NNS NN', 'money paid for the use of money'
'justify threats', 'rate increase', 'VBP NNS', 'NN NN', 'money paid for the use of money'
'peculiar instead', '', 'JJ RB', '', 'advantage, advancement or favor'
'pay loans', 'rates much', 'VBP NNS', 'NNS JJ', 'money paid for the use of money'
'earnings Xs', 'taxes 11', 'NNS POS', 'NNS AB', 'money paid for the use of money'
'making difficulty', 'payments unless', 'VBG NN', 'NNS IN', 'money paid for the use of money'
'earnings Xs', 'taxes', 'NNS POS', 'NNS', 'money paid for the use of money'
'', 'rates often', '', 'NNS RB', 'money paid for the use of money'
'sell agreed', 'paramount communications', 'VB VBD', 'NP NPS', 'a share in a company or business'
'selling considering', 'continental airlines', 'VBG VBG', 'NP NPS', 'a share in a company or business'
'expressed airlines', 'buying share', 'VBD NPS', 'VBG NN', 'readiness to give attention'
'american americans', 'scare uXsX', 'JJ NPS', 'VB NP', 'a share in a company or business'
'uXsX protect', 'countries bolivia', 'NP VB', 'NNS NP', 'a share in a company or business'
'enormous rake', 'payments', 'JJ VB', 'NNS', 'money paid for the use of money'
'plus changes', 'payments merrill', 'CC NNS', 'NNS NP', 'money paid for the use of money'
'accrued plus', 'occur within', 'VBN CC', 'VB IN', 'money paid for the use of money'
'domestic currencies', 'rates discouraged', 'JJ NNS', 'NNS VBD', 'money paid for the use of money'
'buying discouraged', 'traders said', 'NN VBD', 'NNS VBD', 'readiness to give attention'
'higher expectations', 'rates traders', 'JJR NNS', 'NNS NNS', 'money paid for the use of money'
'attracted also', 'speculation mergers', 'VBN RB', 'NN NNS', 'readiness to give attention'
'institutional active', '', 'JJ JJ', '', 'readiness to give attention'
'Xs maker', 'uXkX concern', 'POS NN', 'NP NN', 'readiness to give attention'
'possibility concerns', 'rate increase', 'NN NNS', 'NN NN', 'money paid for the use of money'
'raise council', 'rates traders', 'VB NN', 'NNS NNS', 'money paid for the use of money'
'japanese massive', '$ 140', 'JJ JJ', 'NN AB', 'readiness to give attention'
'major said', 'coming individual', 'JJ VBD', 'VBG JJ', 'readiness to give attention'
'said conlon', 'spain fund', 'VBD NP', 'NP NP', 'readiness to give attention'
'dips recent', 'rates', 'NNS JJ', 'NNS', 'money paid for the use of money'
'short-term pulled', 'rates bit', 'JJ VBD', 'NNS NN', 'money paid for the use of money'
'uXsX lower', 'rates help', 'NP JJR', 'NNS VB', 'money paid for the use of money'
'sole society', 'promotion travel', 'JJ NN', 'NN NN', 'activity, etc. that one gives attention to'
'expressed europe', 'plan', 'VBN NP', 'NN', 'readiness to give attention'
'meet economically', 'payments debt', 'VB RB', 'NNS NN', 'money paid for the use of money'
'% 6X25', 'rate', 'NN AB', 'NN', 'money paid for the use of money'
'plus million', 'dividends', 'CC AB', 'NNS', 'money paid for the use of money'
'industrial mining', 'uXkX north', 'JJ NN', 'NP NP', 'a share in a company or business'
'easing another', 'rates fed', 'NN DT', 'NNS NP', 'money paid for the use of money'
'short-term', 'rates also', 'JJ', 'NNS RB', 'money paid for the use of money'
'discuss refused', 'rates regularly', 'VB VBD', 'NNS RB', 'money paid for the use of money'
'accrued plus', 'octX 25', 'VBN CC', 'NP AB', 'money paid for the use of money'
'rockwell', 'aerospace electronics', 'NP', 'NN NNS', 'a share in a company or business'
'protect', 'plaza commerce', 'VB', 'NP NP', 'a share in a company or business'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'special three', 'magazines travel-holiday', 'JJ AB', 'NNS NP', 'activity, etc. that one gives attention to'
'special related', 'magazines form', 'JJ VBN', 'NNS VBP', 'activity, etc. that one gives attention to'
'business pursue', '', 'NN VB', '', 'activity, etc. that one gives attention to'
'meet economy', 'payments', 'VB NN', 'NNS', 'money paid for the use of money'
'Xs scott', 'fast food', 'POS NP', 'JJ NN', 'a share in a company or business'
'current 1989', 'bonds due', 'JJ AB', 'NNS JJ', 'money paid for the use of money'
'', 'bonds treated', '', 'NNS VBN', 'money paid for the use of money'
'current', 'serial bonds', 'JJ', 'JJ NNS', 'money paid for the use of money'
'current %', 'term bonds', 'JJ NN', 'NN NNS', 'money paid for the use of money'
'paying stopped', 'person adds', 'VBG VBN', 'NN VBZ', 'money paid for the use of money'
'minority taxes', 'advanced 22', 'NN NNS', 'VBD AB', 'a share in a company or business'
'higher sharply', 'rates flagging', 'JJR RB', 'NNS JJ', 'money paid for the use of money'
'raising inflation', 'rates', 'VBG NN', 'NNS', 'money paid for the use of money'
'nudging began', 'rates mrX', 'VBG VBD', 'NNS NP', 'money paid for the use of money'
'minority taxes', 'profit attributable', 'NN NNS', 'NN JJ', 'a share in a company or business'
'pay bonds', 'rates', 'VB NNS', 'NNS', 'money paid for the use of money'
'dearth Xs', 'helping hanwa', 'NN VBZ', 'VBG NP', 'readiness to give attention'
'Xs calmat', 'include concrete', 'POS NP', 'VBP NN', 'a share in a company or business'
'% 67X7', 'harriet oil', 'NN AB', 'NP NN', 'a share in a company or business'
'brewing corpX', '', 'NN NP', '', 'a share in a company or business'
'best X', 'making trades', 'JJS POS', 'VBG NNS', 'advantage, advancement or favor'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'focused narrowly', 'find advantage', 'VBN RB', 'VBP NN', 'activity, etc. that one gives attention to'
'serve programs', '', 'VBP NNS', '', 'activity, etc. that one gives attention to'
'billion 1X6', 'payment due', 'AB AB', 'NN JJ', 'money paid for the use of money'
'make ability', 'payments', 'VB NN', 'NNS', 'money paid for the use of money'
'make choose', 'payment overdue', 'VB VB', 'NN JJ', 'money paid for the use of money'
'make levels', 'payments banks', 'VB NNS', 'NNS NNS', 'money paid for the use of money'
'debt cuts', 'payments present', 'NN NNS', 'NNS JJ', 'money paid for the use of money'
'equity diluted', 'mrX campeau', 'NN VBN', 'NP NP', 'a share in a company or business'
'make loan', 'payment due', 'VB NN', 'NN JJ', 'money paid for the use of money'
'higher thinking', 'rates banks', 'JJR VBG', 'NNS NNS', 'money paid for the use of money'
'best without', 'heart always', 'JJS IN', 'NN RB', 'advantage, advancement or favor'
'dividends flow', 'new savings', 'NNS NN', 'JJ NNS', 'money paid for the use of money'
'drives recession', 'rates also', 'VBZ NN', 'NNS RB', 'money paid for the use of money'
'freeing Xs', 'rates 1979', 'NN POS', 'NNS AB', 'money paid for the use of money'
'million 4X6', 'principal payment', 'AB AB', 'JJ NN', 'money paid for the use of money'
'pay failed', 'due septX', 'VB VBN', 'JJ NP', 'money paid for the use of money'
'days 30', 'payment missed', 'NNS AB', 'NN VBN', 'money paid for the use of money'
'million 7', 'income proceeds', 'AB AB', 'NN NNS', 'money paid for the use of money'
'expressed mclennan', 'cleveland consulting', 'VBN NP', 'NP NP', 'readiness to give attention'
'less attracting', 'smaller companies', 'JJR VBG', 'JJR NNS', 'readiness to give attention'
'amount fair', '', 'NN JJ', '', 'readiness to give attention'
'current', 'serial bonds', 'JJ', 'NN NNS', 'money paid for the use of money'
'current bonds', 'bonds due', 'JJ NNS', 'NNS JJ', 'money paid for the use of money'
'current', 'bonds priced', 'JJ', 'NNS VBN', 'money paid for the use of money'
'current 1989', 'bonds due', 'JJ AB', 'NNS JJ', 'money paid for the use of money'
'businesses acquire', 'oil gas', 'NNS VB', 'NN NN', 'a share in a company or business'
'buy agreed', 'effective septX', 'VB VBD', 'JJ NP', 'a share in a company or business'
'uXsX concern', 'turned court-appointed', 'NP NN', 'VBD JJ', 'a share in a company or business'
'cash lieu', 'payments first', 'NN NN', 'NNS JJ', 'money paid for the use of money'
'outstanding debt', 'rates ranging', 'JJ NN', 'NNS VBG', 'money paid for the use of money'
'domestic market', 'rates remained', 'JJ NN', 'NNS VBD', 'money paid for the use of money'
'investor attracted', 'strong earnings', 'NN VBD', 'JJ NNS', 'readiness to give attention'
'buying received', 'earnings prospects', 'NN VBD', 'NNS NNS', 'readiness to give attention'
'german increase', 'rates nXt', 'JJ NN', 'NNS RB', 'money paid for the use of money'
'renewed chances', 'rate reductions', 'VBN NNS', 'NN NNS', 'money paid for the use of money'
'lower', 'rates generally', 'JJR', 'NNS RB', 'money paid for the use of money'
'uXsX', 'rates decline', 'NP', 'NNS NN', 'money paid for the use of money'
'raise likely', 'rates near', 'VB JJ', 'NNS JJ', 'money paid for the use of money'
'serve time', '', 'VBP NN', '', 'advantage, advancement or favor'
'keen deal', 'aviation community', 'JJ NN', 'NN NN', 'quality of causing attention to be given to'
'public jeopardize', 'especially area', 'JJ VB', 'RB NN', 'advantage, advancement or favor'
'voting combined', '20 %', 'NN VBN', 'AB NN', 'a share in a company or business'
'average', 'rate fell', 'JJ', 'NN VBD', 'money paid for the use of money'
'great studies', 'admiration says', 'JJ NNS', 'NN VBZ', 'readiness to give attention'
'property resources', 'tatters', 'NN NNS', 'NNS', 'a share in a company or business'
'keeping committed', 'rates high', 'VBG VBD', 'NNS JJ', 'money paid for the use of money'
'domestic raised', 'rates slow', 'JJ VBD', 'NNS JJ', 'money paid for the use of money'
'domestic', 'rates likely', 'JJ', 'NNS JJ', 'money paid for the use of money'
'reduce used', 'bill', 'VB VBN', 'NN', 'money paid for the use of money'
'high says', 'rates changed', 'JJ VBZ', 'NNS VBD', 'money paid for the use of money'
'success continued', 'broadening distribution', 'NN JJ', 'VBG NN', 'readiness to give attention'
'pursue resigned', '', 'VB VBN', '', 'activity, etc. that one gives attention to'
'Xs bentsen', 'encouraging long-range', 'POS NP', 'VBG JJ', 'readiness to give attention'
'short-term', 'rates rose', 'JJ', 'NNS VBD', 'money paid for the use of money'
'boost japan', 'rates defend', 'VB NP', 'NNS VB', 'money paid for the use of money'
'open observed', 'number contracts', 'JJ VBD', 'NN NNS', 'a share in a company or business'
'lower nXt', 'rates anytime', 'VB RB', 'NNS RB', 'money paid for the use of money'
'deflects admirers', 'major institutional', 'VBZ NNS', 'JJ JJ', 'readiness to give attention'
'property retail', 'uXs', 'NN NN', 'NP', 'a share in a company or business'
'% 51X7', 'century city', 'NN AB', 'NP NP', 'a share in a company or business'
'effective', 'richfield filtering', 'JJ', 'NP VBG', 'a share in a company or business'
'book-publishing sold', 'including harper', 'NN VBD', 'VBG NP', 'a share in a company or business'
'annualized', 'rates certain', 'JJ', 'NNS JJ', 'money paid for the use of money'
'pursue company', '', 'VB NN', '', 'activity, etc. that one gives attention to'
'principal service', 'obligations falling', 'NN NN', 'NNS VBG', 'money paid for the use of money'
'minority outstanding', 'two principal', 'NN JJ', 'AB JJ', 'a share in a company or business'
'long-range Xs', '', 'JJ POS', '', 'advantage, advancement or favor'
'less ownership', 'liquidity', 'JJR NN', 'NN', 'readiness to give attention'
'reduce grant', 'charges business', 'VB NN', 'NNS NN', 'money paid for the use of money'
'western bad', 'mrX bush', 'JJ JJ', 'NP NP', 'advantage, advancement or favor'
'', 'pars nXt', '', 'NP RB', 'a share in a company or business'
'new-found public', 'capital closeted', 'JJ JJ', 'NN VBD', 'readiness to give attention'
'great article', '', 'JJ NN', '', 'readiness to give attention'
'', 'rate margins', '', 'NN NNS', 'money paid for the use of money'
'amount reasonable', '', 'NN JJ', '', 'money paid for the use of money'
'XXX years', '- selected', 'NN NNS', '? VBN', 'money paid for the use of money'
'annual foreign', 'rates guide', 'JJ JJ', 'NNS NN', 'money paid for the use of money'
'executive insurance', 'Xs promise', 'NN NN', 'VBZ NN', 'a share in a company or business'
'floating fixed', 'rates original', 'JJ JJ', 'NNS JJ', 'money paid for the use of money'
'% 60', 'cit group', 'NN AB', 'NP NP', 'a share in a company or business'
'indications received', 'third parties', 'NNS VBN', 'JJ NNS', 'readiness to give attention'
'buying beginning', 'better quality', 'NN VBG', 'JJR NN', 'readiness to give attention'
'pursue apple', '', 'VB NP', '', 'activity, etc. that one gives attention to'
'Xs year', 'bill', 'POS NN', 'NN', 'money paid for the use of money'
'high paying', '', 'JJ VBG', '', 'money paid for the use of money'
'Xs company', 'charges', 'POS NN', 'NNS', 'money paid for the use of money'
'equity Xs', 'purchase reduced', 'NN POS', 'NN VBN', 'a share in a company or business'
'earnings pretax', 'depreciation $', 'NNS JJ', 'NN NN', 'money paid for the use of money'
'buying increased', 'sugar world', 'JJ VBN', 'NN NN', 'readiness to give attention'
'chance noted', 'rate increases', 'NN VBD', 'NN NNS', 'money paid for the use of money'
'raise likely', 'rates following', 'VB JJ', 'NNS VBG', 'money paid for the use of money'
'bear cumulative', 'one percentage', 'VBP JJ', 'AB NN', 'money paid for the use of money'
'make units', 'payment last', 'VB NNS', 'NN JJ', 'money paid for the use of money'
'% 5', 'later', 'NN AB', 'RB', 'a share in a company or business'
'million 2', 'costs next', 'AB AB', 'NNS JJ', 'money paid for the use of money'
'unpaid accrued', 'octX 15', 'JJ VBN', 'NP AB', 'money paid for the use of money'
'semiannual accrued', 'due octX', 'JJ VBN', 'JJ NP', 'money paid for the use of money'
'% 25X1', 'matuschka Xs', 'NN AB', 'NP POS', 'a share in a company or business'
'X physicians', '', 'POS NNS', '', 'activity, etc. that one gives attention to'
'generate year', 'anticipated', 'VB NN', 'VBN', 'readiness to give attention'
'keen outdoorsman', 'environmental issues', 'JJ NN', 'JJ NNS', 'readiness to give attention'
'thrift iowa', 'real estate', 'NN NP', 'JJ NN', 'readiness to give attention'
'make failed', 'payments june', 'VB VBD', 'NNS NP', 'money paid for the use of money'
'lost assets', '', 'VBD NNS', '', 'readiness to give attention'
'nudging began', 'rates higher', 'VBG VBD', 'NNS RBR', 'money paid for the use of money'
'short-term allowing', 'rates climb', 'JJ VBG', 'NNS VB', 'money paid for the use of money'
'partnership limited', 'via goldman', 'NP NP', 'IN NP', 'a share in a company or business'
'equity sold', 'project american', 'NN VBD', 'NN NP', 'a share in a company or business'
